通用-基础,"highly detailed,{prompt}","noisy, blurry"
艺术2-中世纪艺术,"Medievalism, {prompt}, inspired by The Middle Ages, medieval art, elaborate patterns and decoration, Medievalism","ugly, deformed, noisy, blurry, low contrast"
艺术2-极简主义,"Minimalism, {prompt}, abstract, simple geometic shapes, hard edges, sleek contours, Minimalism","ugly, deformed, noisy, blurry, low contrast"
艺术2-新巴洛克风格,"Neo-Baroque, {prompt}, ornate and elaborate, dynaimc, Neo-Baroque","ugly, deformed, noisy, blurry, low contrast"
艺术2-新拜占庭风格,"Neo-Byzantine, {prompt}, grand decorative religious style, Orthodox Christian inspired, Neo-Byzantine","ugly, deformed, noisy, blurry, low contrast"
艺术2-新未来主义,"Neo-Futurism, {prompt}, high-tech, curves, spirals, flowing lines, idealistic future, Neo-Futurism","ugly, deformed, noisy, blurry, low contrast"
艺术2-新印象派,"Neo-Impressionism, {prompt}, tiny dabs of color, Pointillism, painterly, Neo-Impressionism","ugly, deformed, noisy, blurry, low contrast, photograph, realistic"
艺术2-新洛可可,"Neo-Rococo, {prompt}, curved forms, naturalistic ornamentation, elaborate, decorative, gaudy, Neo-Rococo","ugly, deformed, noisy, blurry, low contrast"
艺术2-新古典主义,"Neoclassicism, {prompt}, ancient Rome and Greece inspired, idealic, sober colors, Neoclassicism","ugly, deformed, noisy, blurry, low contrast"
艺术2-欧普艺术,"Op Art, {prompt}, optical illusion, abstract, geometric pattern, impression of movement, Op Art","ugly, deformed, noisy, blurry, low contrast"
艺术2-华丽而复杂,"Ornate and Intricate, {prompt}, decorative, highly detailed, elaborate, ornate, intricate","ugly, deformed, noisy, blurry, low contrast"
艺术2-铅笔素描绘画,"Pencil Sketch Drawing, {prompt}, black and white drawing, graphite drawing","ugly, deformed, noisy, blurry, low contrast"
艺术2-波普艺术2,"Pop Art, {prompt}, vivid colors, flat color, 2D, strong lines, Pop Art","ugly, deformed, noisy, blurry, low contrast, photo, realistic"
艺术2-洛可可,"Rococo, {prompt}, flamboyant, pastel colors, curved lines, elaborate detail, Rococo","ugly, deformed, noisy, blurry, low contrast"
艺术2-剪影艺术,"Silhouette Art, {prompt}, high contrast, well defined, Silhouette Art","ugly, deformed, noisy, blurry, low contrast"
艺术2-简单矢量艺术,"Simple Vector Art, {prompt}, 2D flat, simple shapes, minimalistic, professional graphic, flat color, high contrast, Simple Vector Art","ugly, deformed, noisy, blurry, low contrast, 3D, photo, realistic"
艺术2-草图,"Sketchup, {prompt}, CAD, professional design, Sketchup","ugly, deformed, noisy, blurry, low contrast, photo, photograph"
艺术2-蒸汽朋克2,"Steampunk, {prompt}, retrofuturistic science fantasy, steam-powered tech, vintage industry, gears, neo-victorian, steampunk","ugly, deformed, noisy, blurry, low contrast"
艺术2-超现实主义,"Surrealism, {prompt}, expressive, dramatic, organic lines and forms, dreamlike and mysterious, Surrealism","ugly, deformed, noisy, blurry, low contrast, realistic"
艺术2-至上主义,"Suprematism, {prompt}, abstract, limited color palette, geometric forms, Suprematism","ugly, deformed, noisy, blurry, low contrast, realistic"
艺术2-泰拉根,"Terragen, {prompt}, beautiful massive landscape, epic scenery, Terragen","ugly, deformed, noisy, blurry, low contrast"
艺术2-宁静放松的氛围,"Tranquil Relaxing Atmosphere, {prompt}, calming style, soothing colors, peaceful, idealic, Tranquil Relaxing Atmosphere","ugly, deformed, noisy, blurry, low contrast, oversaturated"
艺术2-贴纸设计,"Vector Art Stickers, {prompt}, professional vector design, sticker designs, Sticker Sheet","ugly, deformed, noisy, blurry, low contrast"
艺术2-充满活力的边缘光,"Vibrant Rim Light, {prompt}, bright rim light, high contrast, bold edge light","ugly, deformed, noisy, blurry, low contrast"
艺术2-体积照明,"Volumetric Lighting, {prompt}, light depth, dramatic atmospheric lighting, Volumetric Lighting","ugly, deformed, noisy, blurry, low contrast"
艺术2-水彩2,"Watercolor style painting, {prompt}, visible paper texture, colorwash, watercolor","ugly, deformed, noisy, blurry, low contrast, photo, realistic"
艺术2-奇幻和活泼,"Whimsical and Playful, {prompt}, imaginative, fantastical, bight colors, stylized, happy, Whimsical and Playful","ugly, deformed, noisy, blurry, low contrast, drab, boring, moody"
Cyberbill-性感女孩,"explicit photo shooting style {prompt} . casting pose, caucasian, perfect rond breast, perfect body,highly detailed, perfect hands, extremely realistic face,perfect eyes and long eyelashes,  symmetrical perfect eyes, skin pores, ultra detailed, RAW photo","disfigured, disproportionate, bad anatomy, bad proportions, ugly, out of frame, mangled, asymmetric, cross-eyed, depressed, immature, stuffed animal, out of focus, high depth of field, cloned face, cloned head, age spot, skin blemishes, collapsed eyeshadow, asymmetric ears, imperfect eyes, unnatural, conjoined, missing limb, missing arm, missing leg, poorly drawn face, poorly drawn feet, poorly drawn hands, floating limb, disconnected limb, extra limb, malformed limbs, malformed hands, poorly rendered face, poor facial details, poorly rendered hands, double face, unbalanced body, unnatural body, lacking body, long body, cripple, old, fat, cartoon, 3D, weird colors, unnatural skin tone, unnatural skin, stiff face, fused hand, skewed eyes, surreal, cropped head, group of people"
Cyberbill-羊毛制品," a wool {prompt} .  made of wool, lots of threads, very complex, very detailed, realistically rendered, very contrasted, well-defined shadow","noisy, blurry, amateurish, sloppy, unattractive, real skin, real material, real object"
Cyberbill-金线风格,"gold thread {prompt} .  made of gold thread; lots of threads; very complex , artistic and baroque arrangement of gold threads, very detailed;   realistically rendered, very contrasted,well-defined shadow","noisy, blurry, amateurish, sloppy, unattractive, real skin, real object,iron, copper, silver,skin"
Cyberbill-牛仔布拼接,"gold thread {prompt} .  ((entirely made of pieces of sewn used denim patchwork fabrics)), very detailed;   realistically rendered, very contrasted,well-defined shadow","noisy, blurry, amateurish, sloppy, unattractive"
Cyberbill-超级英雄,"{prompt} .  ([marvel|DC Comics] superhero, super powered, gorgeous, proud, strong,incredible, determined,hero attitude), very detailed, realistically rendered, very contrasted, well-defined shadow, photo realistic","noisy, blurry, amateurish, sloppy, unattractive"
Cyberbill-镜头耀斑日落,"(Cinematic Shot:1.3)(Shot on Aaton LTR 54) {prompt} . ((35mm, F/2.8) Photo Focus, DOF, Aperture, (DOF, blurry background, sunrise in the back of subject)(Lens Flare, Heresy flare:1.3),(sharpness, details, contrast, warm tones:1.5)(Dark Sky:1.3), sunset","cropped, regular face, deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, text, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck"
Cyberbill-七十年代风格,"(old 1970 vintage photo, EF 35) {prompt} . (environnement 1970, 1970 colors, 1970 artstyle)","cropped, regular face, deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, text, cropped, out of frame, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, current, modern, saturated, bright color, futuristic, unreal, professional, poorly framed, cut out, subject out of frame"
Cyberbill-充气娃娃,"(Latex love doll:1.3) ((open mouth, pouty lips :1.7)) fake hairs {prompt} . caucasian, perfect rond breast, perfect body, highly detailed, perfect hands, perfect eyes and long eyelashes,  symmetrical perfect eyes , ultra detailed, RAW photo","cropped, regular face, deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, text, cropped, out of frame, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, current, modern, saturated, bright color, futuristic, unreal, professional, poorly framed, cut out, subject out of frame"
Cyberbill-斐波那契螺旋,"shape drawing of {prompt} . made of bright and shiny colored pixels arranged in a Fibonacci spiral, multi-colored, on a very  psychedelic background, very marked shadow and light, vibrant colors ","dull, gray, ugly, realistic, cut, poor, dark, real"
Cyberbill-分形颜色,"{prompt} . fractal style drawing, fractal spiral, fractal motif, fractal shape,  Fractal colors, fractal environnement, bright colors, HDR, strong contrast","dull, gray, ugly, realistic, cut, poor, dark, real"
Cyberbill-分形单位,"{prompt} . fractal style drawing, fractal spiral, fractal motif, fractal shape,  Fractal colors, fractal environnement, bright colors, HDR, strong contrast"," ugly, realistic, cut, poor, real"
Cyberbill-低角度图像,"seen from below {prompt} . (((low angle image , vanishing point of the image at the top center))),perfect render, HDR, 8k, best quality","bad anatomy,bad proportions,blurry,cloned face,cropped,deformed,dehydrated,disfigured,duplicate,error,extra arms,extra fingers,extra legs,extra limbs,fused fingers,gross proportions,jpeg artifacts,long neck,low quality,lowres,malformed limbs,missing arms,missing legs,morbid,mutated hands,mutation,mutilated,out of frame,poorly drawn face,poorly drawn hands,signature,text,too many fingers,ugly,username,watermark,worst quality"
Cyberbill-微距照片,"photographed very closely {prompt} . Very tight shot, macro, very marked contrasts, ultra detailed, very perseptable texture, f/11 ISO100,(((ultra bright color))),HDR,8k,made professional, hyper realistic, saturated color","bad anatomy,bad proportions,blurry,cloned face,cropped,deformed,dehydrated,disfigured,duplicate,error,extra arms,extra fingers,extra legs,extra limbs,fused fingers,gross proportions,jpeg artifacts,long neck,low quality,lowres,malformed limbs,missing arms,missing legs,morbid,mutated hands,mutation,mutilated,out of frame,poorly drawn face,poorly drawn hands,signature,text,too many fingers,ugly,username,watermark,worst quality"
Cyberbill-X射线,"{prompt} .  X-ray style, (((complete X-ray))), showing the bones and soft tissues, bones clearly visible, soft tissues sufficiently contrasted   for detailed analysis BREAK The X-ray should be in black and white and have sufficient resolution for detailed analysis","color, perspective, 3d,opaque,shadow, contrast, cut,incomplete"
Cyberbill-花艺风格,"{prompt} .  floral art, very artistic composition, bright colors, natural flowers, homogeneous distribution, very varied species of  flowers, multicolor flowers, very high definition, very detailed ,the flowers are fresh, bright colors","Dark, dead,sad, amateur"
Cyberbill-飞溅油漆风格,"{prompt} .  front of a black background, multiple splashes of fluorescent multicolor paint crash onto the black background, splashes fallow the shap of the subject, ((the movements of the paint leave a liminous trail)), the painting gradually blends with the subject, HDR, ultra glossy paint,   multicolor smoke backgroud, studio lighting","Dark, dead,sad, amateur"
Cyberbill-闪亮的,"{prompt} .  bling rapper style  extravagant ostentatious, display of outward signs of wealth, gold and diamonds rhinestones and sequins, HDR, ultra detailed","poor, unsightly, amateur, black and white, poorly done, dark, sad,ugly"
Cyberbill-IMVU游戏风格,"{prompt} .  IMVU game style (open GL render), low resolution ","Dark, dead,sad, realistic, HDR"
Cyberbill-混乱的风格,"{prompt} .  chaotic style, turbulence, colorful, hyper random place, unexpected, unreal,unhoped for,high contrast, randomly ultra colored lighting and particles,  misaligned,bright  color, disorganized","black and white, serious, sad, organized"
Cyberbill-惊悚风格,"{prompt} .  pale light, stagnant smoke which invades the entire photo, rays of moonlight on the side, very marked shadow, cold atmosphere, poorly colored, cold color, sad, serious, silent, boring, thriller atmosphere, thrill,fear, realistic, HD, inspired horror movie, professional framing, professional staging ","joyful, colorful, cheerful, warm, warmth, bright colors, multi-colored"
Cyberbill-Asccii艺术风格,"{prompt} .  ascii art style, the ascii characters are in multicolor,  colors nuances  brings out subtle shadows, there are only characters from lettersletters of the alphabet,  the image pixels are ascii characters, the image is simple and poor in detail ","cropped, out of frame, jpeg artifacts, ugly, duplicate, bad proportions, disfigured"
Cyberbill-印刷电路,"{prompt} .  (((masterpiece sculpture made of complexe printed circuit))), ((made of shiny printed circuit on a black PCB)), technological aspect,Bright micro LEDs distributed randomly throughout the sculpture they emit a soft warm light, the blending of circuits created subtle shadows,multiple connections of light fiber optic network arround the shape, 4k, ultra-detailed","cropped, out of frame, jpeg artifacts, ugly, duplicate, bad proportions, disfigured"
Cyberbill-穆拉诺玻璃风格,"{prompt} .  Murano style glass sculpture outline style abstract, made of colorful swirling ((transparent)) disperssive inconsistent smoke with no notable features ","cropped, out of frame, jpeg artifacts, ugly, duplicate, bad proportions, disfigured"
Cyberbill-抽象几何图案,"{prompt} .  seamless geometric abstract pattern geometric drawing  shapes, art work, Trendy colorful background design,  artistic style texture, bright and cheerful colors","cropped, out of frame, jpeg artifacts, ugly"
Cyberbill-大卫街头艺术风格,"{prompt} .  drawing of Statue David street grafitti style, colored canvas wall art, graffiti Pop art distributed randomly, illustration isolated on black background ,very beautiful shadows","cropped, out of frame, jpeg artifacts, ugly"
Cyberbill-拼贴图案,"{prompt} . a collection of different types and random poses, random color, isolated on a background, isometric flat art cartoon style, vivid colors, 8K","cropped, out of frame, jpeg artifacts, ugly, deformed"
Cyberbill-平面矢量圆圈,"{prompt} . flat shape, flat design, vector, (circle concentric geometric), geometric composition, square shapes are angular, ultra detailed form, solid color, abstract, artistic work, vivid colors","cropped, out of frame, jpeg artifacts, ugly, deformed, real, photographed"
Cyberbill-3D线框图,"{prompt} . 3d ((line drawing)), (solid colors),  (quads topology),(3D wireframe model  rendering style:1.8),high polygon","cropped, out of frame, jpeg artifacts, ugly, deformed, real, photographed"
Cyberbill-90年代3D游戏,"{prompt} . (((1990 3D PC video game style, heavily pixelated textures,heavily aliasing))),poor in polygons, 8 bits color palette","cropped, out of frame, jpeg artifacts, ugly, deformed, real, photographed,shadow,light reflection, shading, high quality, realistic, modern"
Cyberbill-童话公主风格,"{prompt} . ((fashion photography)) of random fairy tale princess, ([Belle|Cinderella|Snow White|Aurora|Rapunzel|Jasmine|Merida|Elsa|Anna|Tiana|Moana|The Twelve Dancing Princesses|Rose Red|The Princess and the Pea|Thumbelina|The Wild Swans] princess),  perfect body,highly detailed, perfect hands, extremely realistic face,perfect eyes and long eyelashes,  symmetrical perfect eyes, skin pores, ultra detailed, RAW photo,8k, cinematic photography,photorealistic,extremely detailed, sharp-focus?, Canon EOS 5D Mark IV DSLR","disfigured, disproportionate, bad anatomy, bad proportions, ugly, out of frame, mangled, asymmetric, cross-eyed, depressed, immature, stuffed animal, out of focus, high depth of field, cloned face, cloned head, age spot, skin blemishes, collapsed eyeshadow, asymmetric ears, imperfect eyes, unnatural, conjoined, missing limb, missing arm, missing leg, poorly drawn face, poorly drawn feet, poorly drawn hands, floating limb, disconnected limb, extra limb, malformed limbs, malformed hands, poorly rendered face, poor facial details, poorly rendered hands, double face, unbalanced body, unnatural body, lacking body, long body, cripple, old, fat, cartoon, 3D, weird colors, unnatural skin tone, unnatural skin, stiff face, fused hand, skewed eyes, surreal, cropped head, group of people,3d, digital art,cropped, out of frame, jpeg artifacts, ugly, deformed"
Cyberbill-绉纸风格,"crepe paper representation of {prompt} . handmade, textured paper, 3D artistic work, vivid colors","cropped, out of frame, jpeg artifacts, ugly, deformed"
Cyberbill-单色屏幕风格,"monochrome 2D dot matrix  green pixels representation of {prompt} . on a black background , solid bright green color, solid black color, unreal ,  ultra pixelated, low resolution, ultra low detail, infinite contrast, [black:green: 0.5]","cropped, out of frame, jpeg artifacts, ugly, deformed"
Cyberbill-消失的太阳 基于墨水,"ink illustration, ink stains, ink splatters, ink runs, ink spots, faded ink, evanescent ink,natural lighting, monochromatic, warm and gentle ray of sunshine, enveloped in ribbons of smok , random fractal disposition, joy happiness, impulse of joy, represenation of  {prompt} . extremely detailed","cropped, out of frame, jpeg artifacts, ugly, deformed"
Cyberbill-皮克斯工作室,"pixar style, masterpiece, soft studio light, {prompt} .  pixar character, image inspired by the Pixar universe, 4k, 8k, HDR, high details, cinematographic rendering, professional, incredible, fun, funny, RenderMan rendering","colorless rendition, extremely poor quality, subpar quality, average quality, awkward cropping, out of focus, incorrect anatomy, rough sketch, low resolution, deformed, additional hand, extra digit,  excessive JPEG artifacts, visible signature, prominent watermark, username distraction, artist name overshadowing"
Cyberbill-情人节,"Valentine's day style, hearts, flowers, rose petals, red, romantic atmosphere, sunset, love, butterflies, doves, {prompt} . very detailed, professional rendering, k4, 8k, HDR, very detailed, beautiful, magnificent, fantastic, incredible","disfigured, disproportionate, bad anatomy, bad proportions, ugly, out of frame, mangled, asymmetric, cross-eyed, depressed, immature, stuffed animal, out of focus, high depth of field, cloned face, cloned head, age spot, skin blemishes, collapsed eyeshadow, asymmetric ears, imperfect eyes, unnatural, conjoined, missing limb, missing arm, missing leg, poorly drawn face, poorly drawn feet, poorly drawn hands, floating limb, disconnected limb, extra limb, malformed limbs, malformed hands, poorly rendered face, poor facial details, poorly rendered hands, double face, unbalanced body, unnatural body, lacking body, long body, cripple, old, fat, cartoon, 3D, weird colors, unnatural skin tone, unnatural skin, stiff face, fused hand, skewed eyes, surreal, cropped head"
Cyberbill-博格风格 星际迷航," {prompt} . ((futurist, biocybernetic borg implants , gray skin, black veins, necrotic skin, black eyes, blacks pipes on body, blacks pipes in the head, black leather helmets with red or green electronic light)), the subject should include advanced mechanical and future systems BREAK green atmosphere","cropped, out of frame, jpeg artifacts, ugly, duplicate, bad proportions, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, futuristic, poorly framed, cut out, subject out of frame"
Fooocus-增强 负向,{prompt},"(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D ,3D Game, 3D Game Scene, 3D Character:1.1), (bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)"
Fooocus-半真实 负向,{prompt},"(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)"
Fooocus-锐利,"cinematic still {prompt} . emotional, harmonious, vignette, 4k epic detailed, shot on kodak, 35mm photo, sharp focus, high budget, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, (blur, blurry, bokeh), text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
Fooocus-杰作,"(masterpiece), (best quality), (ultra-detailed), {prompt}, illustration, disheveled hair, detailed eyes, perfect composition, moist skin, intricate details, earrings, by wlop","longbody, lowres, bad anatomy, bad hands, missing fingers, pubic hair,extra digit, fewer digits, cropped, worst quality, low quality"
Fooocus-照片,"photograph {prompt}, 50mm . cinematic, 4k epic detailed, 4k epic detailed, photograph shot on kodak, detailed cinematic, hbo dark moody, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","Brad Pitt, bokeh, depth of field, blurry, cropped, regular face, saturated, contrast, deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, text, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck"
Fooocus-负向词,{prompt},"deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet, abnormal fingers, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
Fooocus-电影,"cinematic still {prompt} . emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
mre-古代插图,"sublime ancient illustration of {prompt}, predating human civilization. crude and simple, but also surprisingly beautiful artwork, made by genius primeval artist. best quality, high resolution","low quality, low resolution"
mre-动漫,"anime artwork illustrating {prompt}. created by japanese anime studio. highly emotional. best quality, high resolution","low quality, low resolution"
mre-艺术视觉,"powerful artistic vision of {prompt}. breathtaking masterpiece made by great artist. best quality, high resolution","insignificant, flawed, made by bad artist. low quality, low resolution"
mre-噩梦,"picture from really bad dream about terrifying {prompt}, true horror. bone-chilling vision. mad world that shouldn't exist. best quality, high resolution","nice dream, pleasant experience. low quality, low resolution"
mre-勇敢的艺术,"brave, shocking, and brutally true art showing {prompt}. inspired by courage and unlimited creativity. truth found in chaos. best quality, high resolution","low quality, low resolution"
mre-电影动态,"epic cinematic shot of dynamic {prompt} in motion. main subject of high budget action movie. raw photo, motion blur. best quality, high resolution","static, still, motionless, sluggish. drawing, painting, illustration, rendered. low budget. low quality, low resolution"
mre-漫画,"breathtaking illustration from adult comic book presenting {prompt}. fabulous artwork. best quality, high resolution","deformed, ugly, low quality, low resolution"
mre-黑暗赛博朋克,"dark cyberpunk illustration of brutal {prompt} in a world without hope, ruled by ruthless criminal corporations. best quality, high resolution","low quality, low resolution"
mre-黑暗梦境,"dark and unsettling dream showing {prompt}. best quality, high resolution. created by genius but depressed mad artist. grim beauty","naive, cheerful. comfortable, casual, boring, cliche. low quality, low resolution"
mre-动态插画,"insanely dynamic illustration of {prompt}. best quality, high resolution. crazy artstyle, careless brushstrokes, emotional and fun","photography, realistic. static, still, slow, boring. low quality, low resolution"
mre-瞬时艺术,"art illustrating insane amounts of raging elemental energy turning into {prompt}, avatar of elements. magical surrealism, wizardry. best quality, high resolution","photography, realistic, real. low quality, low resolution"
mre-阴郁的艺术,"astonishing gloomy art made mainly of shadows and lighting, forming {prompt}. masterful usage of lighting, shadows and chiaroscuro. made by black-hearted artist, drawing from darkness. best quality, high resolution","low quality, low resolution"
mre-英雄幻想,"heroic fantasy painting of {prompt}, in the dangerous fantasy world. airbrush over oil on canvas. best quality, high resolution","low quality, low resolution"
mre-抒情几何,"geometric and lyrical abstraction painting presenting {prompt}. oil on metal. best quality, high resolution","photography, realistic, drawing, rendered. low quality, low resolution"
mre-日漫,"manga artwork presenting {prompt}. created by japanese manga artist. highly emotional. best quality, high resolution","low quality, low resolution"
mre-太空艺术,"winner of inter-galactic art contest illustrating {prompt}, symbol of the interstellar singularity. best quality, high resolution. artstyle previously unseen in the whole galaxy","created by human race, low quality, low resolution"
mre-随手拍,"spontaneous picture of {prompt}, taken by talented amateur. best quality, high resolution. magical moment, natural look. simple but good looking","overthinked. low quality, low resolution"
mre-水墨画写实,"highly detailed black sumi-e painting of {prompt}. in-depth study of perfection, created by a master. best quality, high resolution","low quality, low resolution"
mre-水墨画写意,"big long brushstrokes of deep black sumi-e turning into symbolic painting of {prompt}. master level raw art. best quality, high resolution","photography, rendered. low quality, low resolution"
mre-超现实主义,"surreal painting representing strange vision of {prompt}. harmonious madness, synergy with chance. unique artstyle, mindbending art, magical surrealism. best quality, high resolution","photography, illustration, drawing. realistic, possible. logical, sane. low quality, low resolution"
mre-不死艺术,"long forgotten art created by undead artist illustrating {prompt}, tribute to the death and decay. miserable art of the damned. wretched and decaying world. best quality, high resolution","alive, playful, living. low quality, low resolution"
mre-地下艺术,"uncanny caliginous vision of {prompt}, created by remarkable underground artist. best quality, high resolution. raw and brutal art, careless but impressive style. inspired by darkness and chaos","photography, mainstream, civilized. low quality, low resolution"
MK-彩色平版印刷,"Chromolithograph {prompt}. Vibrant colors, intricate details, rich color saturation, meticulous registration, multi-layered printing, decorative elements, historical charm, artistic reproductions, commercial posters, nostalgic, ornate compositions.","monochromatic, simple designs, limited color palette, imprecise registration, minimalistic, modern aesthetic, digital appearance."
MK-交叉加工打印,"Cross processing print {prompt}. Experimental color shifts, unconventional tonalities, vibrant and surreal hues, heightened contrasts, unpredictable results, artistic unpredictability, retro and vintage feel, dynamic color interplay, abstract and dreamlike.","predictable color tones, traditional processing, realistic color representation, subdued contrasts, standard photographic aesthetics."
MK-杜菲彩色照片,"Dufaycolor photograph {prompt}. Vintage color palette, distinctive color rendering, soft and dreamy atmosphere, historical charm, unique color process, grainy texture, evocative mood, nostalgic aesthetic, hand-tinted appearance, artistic patina.","modern color reproduction, hyperrealistic tones, sharp and clear details, digital precision, contemporary aesthetic."
MK-植物标本,"Herbarium drawing{prompt}. Botanical accuracy, old botanical book illustration, detailed illustrations, pressed plants, delicate and precise linework, scientific documentation, meticulous presentation, educational purpose, organic compositions, timeless aesthetic, naturalistic beauty.","abstract representation, vibrant colors, artistic interpretation, chaotic compositions, fantastical elements, digital appearance."
MK-朋克拼贴,"punk collage style {prompt} . mixed media, papercut,textured paper, overlapping, ripped posters, safety pins, chaotic layers, graffiti-style elements, anarchy symbols, vintage photos, cut-and-paste aesthetic, bold typography, distorted images, political messages, urban decay, distressed textures, newspaper clippings, spray paint, rebellious icons, DIY spirit, vivid colors, punk band logos, edgy and raw compositions, ","conventional,blurry, noisy, low contrast"
MK-马赛克,"mosaic style {prompt} . fragmented, assembled, colorful, highly detailed","whole, unbroken, monochrome"
MK-梵高,"Oil painting by Van Gogh {prompt} . Expressive, impasto, swirling brushwork, vibrant, brush strokes, Brushstroke-heavy, Textured, Impasto, Colorful, Dynamic, Bold, Distinctive, Vibrant, Whirling, Expressive, Dramatic, Swirling, Layered, Intense, Contrastive, Atmospheric, Luminous, Textural, Evocative, SpiraledVan Gogh style","realistic, photorealistic, calm, straight lines, signature, frame, text, watermark"
MK-涂色书,"centered black and white high contrast line drawing, coloring book style,{prompt} . monochrome, blank white background","greyscale, gradients,shadows,shadow, colored, Red, Blue, Yellow, Green, Orange, Purple, Pink, Brown, Gray, Beige, Turquoise, Lavender, Cyan, Magenta, Olive, Indigo, black background"
MK-萨金特水彩画,"Oil painting by John Singer Sargent {prompt}. Elegant, refined, masterful technique,realistic portrayal, subtle play of light, captivating expression, rich details, harmonious colors, skillful composition, brush strokes, chiaroscuro.","realistic, photorealistic, abstract, overly stylized, excessive contrasts, distorted,bright colors,disorder."
MK-波洛克 抽象画,"Oil painting by Jackson Pollock {prompt}. Abstract expressionism, drip painting, chaotic composition, energetic, spontaneous, unconventional technique, dynamic, bold, distinctive, vibrant, intense, expressive, energetic, layered, non-representational, gestural.","(realistic:1.5), (photorealistic:1.5), representational, calm, ordered composition, precise lines, detailed forms, subdued colors, quiet, static, traditional, figurative."
MK-巴斯奎特 涂鸦艺术,"Artwork by Jean-Michel Basquiat {prompt}. Neo-expressionism, street art influence, graffiti-inspired, raw, energetic, bold colors, dynamic composition, chaotic, layered, textural, expressive, spontaneous, distinctive, symbolic,energetic brushstrokes.","(realistic:1.5), (photorealistic:1.5), calm, precise lines, conventional composition, subdued"
